Date,Open,High,Low,Close,Adj Close,Volume
2013-01-29,14.042500,14.195000,13.765000,14.100000,14.093857,8912000
2013-01-30,14.192500,14.300000,13.917500,14.022500,14.016391,6631600
2013-01-31,14.000000,14.217500,13.882500,13.932500,13.926429,8476400
2013-02-01,14.215000,14.485000,14.045000,14.390000,14.383730,11919600
2013-02-04,14.147500,14.282500,13.650000,13.657500,13.651549,11426000
2013-02-05,13.827500,14.385000,13.742500,14.257500,14.251287,11670400
2013-02-06,14.112500,14.312500,13.997500,14.125000,14.118846,10457200
2013-02-07,14.167500,14.207500,13.697500,14.160000,14.153831,9107200
2013-02-08,14.387500,14.682500,14.355000,14.590000,14.583643,8496400
2013-02-11,14.622500,14.640000,14.462500,14.585000,14.578645,4627600
2013-02-12,14.560000,14.635000,14.385000,14.415000,14.408720,5397600
2013-02-13,14.545000,14.740000,14.445000,14.582500,14.576147,7783600
2013-02-14,14.382500,14.630000,14.352500,14.552500,14.546159,5708400
2013-02-15,14.572500,14.667500,14.315000,14.427500,14.421213,4941600
